VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,store_and_fwd_flag,payment_type,fare_amount,tip_amount,extra,total_amount
2,2024-01-06 02:55:00,2024-01-06 03:00:00,1,4.107,226,131,N,CRD,11.77,2.78,0.0,14.55
1,2024-01-24 12:01:00,2024-01-24 12:12:00,4,5.287,227,90,N,CRD,14.72,4.81,0.0,19.53
2,2024-01-22 17:11:00,2024-01-22 17:15:00,1,0.714,138,106,N,CSH,3.76,1.02,0.0,4.78
1,2024-01-11 23:46:00,2024-01-11 23:57:00,2,2.087,105,128,N,CRD,6.72,1.03,0.0,7.75
1,2024-01-03 02:31:00,2024-01-03 02:52:00,2,3.121,63,122,N,CSH,10.38,1.15,0.0,11.53
1,2024-01-31 02:11:00,2024-01-31 02:27:00,2,0.713,92,2,N,CRD,4.19,0.19,1.0,5.38
1,2024-01-14 19:35:00,2024-01-14 19:37:00,1,2.279,209,202,N,CRD,7.3,0.77,0.0,8.07
1,2024-01-28 16:28:00,2024-01-28 16:30:00,1,0.921,38,29,N,CRD,5.31,1.25,0.0,6.56
2,2024-01-22 00:22:00,2024-01-22 00:37:00,1,0.259,146,255,N,CSH,3.31,0.19,0.0,3.5
1,2024-01-25 03:07:00,2024-01-25 03:20:00,2,0.792,191,231,N,CRD,5.81,0.45,0.0,6.26
1,2024-01-24 13:21:00,2024-01-24 13:31:00,1,7.281,128,123,N,CRD,22.55,1.68,0.0,24.23
1,2024-01-07 00:48:00,2024-01-07 00:53:00,1,11.248,100,53,N,CRD,30.75,8.33,1.0,40.08
1,2024-01-12 06:44:00,2024-01-12 06:46:00,4,3.181,153,169,N,CRD,10.88,2.17,0.0,13.05
1,2024-01-15 11:14:00,2024-01-15 11:34:00,2,4.93,236,12,N,CRD,15.41,0.71,0.0,16.12
2,2024-01-16 10:21:00,2024-01-16 10:34:00,1,1.435,192,195,N,CRD,8.01,0.85,0.0,8.86
2,2024-01-02 08:35:00,2024-01-02 08:54:00,1,2.378,107,148,N,CRD,7.44,0.71,0.0,8.15
2,2024-01-17 22:38:00,2024-01-17 22:56:00,2,1.83,117,93,N,CRD,6.51,1.27,0.0,7.78
1,2024-01-05 18:47:00,2024-01-05 18:57:00,3,1.094,55,180,N,CRD,4.24,0.01,0.0,4.25
2,2024-01-24 01:04:00,2024-01-24 01:12:00,2,2.162,2,241,N,CRD,7.28,1.13,0.0,8.41
2,2024-01-22 04:11:00,2024-01-22 04:14:00,1,1.596,158,82,N,CRD,6.1,0.58,0.0,6.68
2,2024-01-29 14:21:00,2024-01-29 14:30:00,4,3.762,63,154,N,CSH,11.03,4.57,0.0,15.6
1,2024-01-24 02:06:00,2024-01-24 02:15:00,1,3.609,162,134,N,CSH,11.94,0.3,0.0,12.24
2,2024-01-12 08:46:00,2024-01-12 08:51:00,1,1.538,252,262,N,CRD,6.85,1.83,0.0,8.68
1,2024-01-30 23:49:00,2024-01-31 00:15:00,1,1.899,131,67,N,CSH,7.24,0.5,0.5,8.24
1,2024-01-13 17:40:00,2024-01-13 17:55:00,1,2.653,222,130,N,CSH,9.46,0.0,1.0,10.46
1,2024-01-11 02:24:00,2024-01-11 02:27:00,1,0.812,163,32,N,CSH,6.3,0.0,0.0,6.3
1,2024-01-29 01:43:00,2024-01-29 02:16:00,1,2.419,8,27,N,NoCharge,8.91,1.66,0.0,10.57
1,2024-01-12 11:37:00,2024-01-12 11:49:00,1,2.167,215,187,N,NoCharge,6.92,0.74,0.0,7.66
1,2024-01-03 08:47:00,2024-01-03 08:52:00,1,3.819,34,160,N,CRD,11.25,0.0,0.0,11.25
2,2024-01-15 13:20:00,2024-01-15 13:57:00,4,2.9,34,188,N,CRD,8.88,2.55,0.5,11.93
1,2024-01-25 15:59:00,2024-01-25 16:08:00,2,1.979,89,186,N,CRD,8.86,0.69,0.0,9.55
1,2024-01-06 20:58:00,2024-01-06 21:21:00,2,0.992,114,204,N,CRD,4.48,0.35,0.5,5.33
2,2024-01-15 08:25:00,2024-01-15 08:38:00,2,1.142,78,208,N,CSH,4.35,0.17,0.0,4.52
1,2024-01-05 00:39:00,2024-01-05 00:44:00,2,0.785,258,69,N,CRD,3.46,1.17,0.0,4.63
2,2024-01-22 06:44:00,2024-01-22 07:01:00,1,0.645,161,137,N,DIS,3.54,0.11,0.0,3.65
1,2024-01-15 17:55:00,2024-01-15 18:00:00,4,1.208,125,224,N,CSH,4.9,0.0,0.0,4.9
1,2024-01-11 05:39:00,2024-01-11 05:45:00,1,2.453,33,66,N,CSH,7.87,1.26,0.0,9.13
1,2024-01-08 00:49:00,2024-01-08 00:57:00,1,0.239,80,128,N,CRD,3.97,0.09,0.0,4.06
2,2024-01-18 11:59:00,2024-01-18 12:06:00,4,2.113,7,253,N,CSH,7.49,0.66,0.0,8.15
2,2024-01-21 18:20:00,2024-01-21 18:33:00,1,8.123,83,211,N,CSH,22.73,1.71,0.0,24.44
1,2024-01-30 03:35:00,2024-01-30 03:55:00,1,8.054,14,254,N,CRD,23.38,1.11,0.0,24.49
2,2024-01-14 13:14:00,2024-01-14 13:22:00,3,2.372,149,109,N,CRD,9.25,0.0,0.0,9.25
1,2024-01-05 23:33:00,2024-01-05 23:43:00,1,1.889,94,95,N,CSH,6.61,1.04,0.0,7.65
1,2024-01-26 19:30:00,2024-01-26 19:33:00,1,3.463,127,252,N,CRD,12.36,1.06,0.0,13.42
1,2024-01-20 12:32:00,2024-01-20 12:42:00,5,0.456,202,103,N,DIS,3.62,1.31,0.5,5.43
1,2024-01-22 16:59:00,2024-01-22 17:03:00,4,2.302,113,30,N,CRD,7.66,0.32,0.0,7.98
1,2024-01-04 00:20:00,2024-01-04 00:26:00,4,0.931,258,4,N,CRD,5.74,0.87,0.0,6.61
1,2024-01-10 16:24:00,2024-01-10 16:31:00,1,1.94,133,166,N,CSH,7.74,1.04,0.0,8.78
2,2024-01-24 19:16:00,2024-01-24 19:27:00,3,1.353,141,74,N,CRD,6.18,0.0,0.0,6.18
1,2024-01-26 19:12:00,2024-01-26 19:30:00,2,1.001,105,246,N,CRD,4.64,0.0,0.0,4.64
1,2024-01-14 11:48:00,2024-01-14 11:57:00,2,9.024,184,85,N,CRD,25.06,0.0,0.0,25.06
1,2024-01-25 22:44:00,2024-01-25 22:46:00,1,0.422,178,161,N,CRD,2.82,0.56,1.0,4.38
2,2024-01-27 02:13:00,2024-01-27 02:47:00,1,6.994,113,19,N,CRD,19.77,2.42,0.0,22.19
1,2024-01-13 00:17:00,2024-01-13 00:21:00,1,3.52,52,156,N,CSH,10.88,2.59,0.0,13.47
2,2024-01-28 20:10:00,2024-01-28 20:19:00,4,0.939,46,10,N,NoCharge,5.09,1.09,0.0,6.18
1,2024-01-09 22:30:00,2024-01-09 23:08:00,1,2.61,74,11,N,CRD,10.56,2.03,0.0,12.59
1,2024-01-08 10:13:00,2024-01-08 10:46:00,2,3.99,164,118,N,CRD,12.3,2.86,0.0,15.16
1,2024-01-22 03:46:00,2024-01-22 03:58:00,1,1.666,199,238,N,CSH,7.45,0.0,1.0,8.45
1,2024-01-20 17:45:00,2024-01-20 18:01:00,1,5.409,64,222,N,CRD,16.16,2.12,0.0,18.28
1,2024-01-05 07:58:00,2024-01-05 08:22:00,1,0.567,149,55,N,CRD,5.06,0.0,1.0,6.06
2,2024-01-26 19:33:00,2024-01-26 19:39:00,3,1.195,151,234,N,CSH,7.19,1.07,0.0,8.26
2,2024-01-07 04:43:00,2024-01-07 04:59:00,2,0.977,125,34,N,CRD,4.43,0.12,0.0,4.55
2,2024-01-25 22:50:00,2024-01-25 22:56:00,1,4.704,47,93,N,CSH,13.26,0.06,0.0,13.32
2,2024-01-01 05:28:00,2024-01-01 05:46:00,1,0.621,262,71,N,CRD,3.05,0.65,0.0,3.7
1,2024-01-25 16:51:00,2024-01-25 16:59:00,1,3.132,75,188,N,CSH,11.32,0.61,0.0,11.93
1,2024-01-25 09:28:00,2024-01-25 09:33:00,1,3.705,115,231,N,CRD,12.08,0.0,0.0,12.08
2,2024-01-25 04:35:00,2024-01-25 04:58:00,1,1.826,100,95,N,CRD,6.09,1.76,0.0,7.85
2,2024-01-21 14:38:00,2024-01-21 14:42:00,1,6.852,240,42,N,CRD,21.23,0.0,0.0,21.23
1,2024-01-15 14:50:00,2024-01-15 15:04:00,1,1.008,209,197,N,CRD,4.7,1.23,0.0,5.93
1,2024-01-22 20:38:00,2024-01-22 20:40:00,2,1.483,104,48,N,CRD,5.85,0.0,0.5,6.35
1,2024-01-09 14:10:00,2024-01-09 14:19:00,1,3.372,221,84,N,CRD,10.64,2.81,0.0,13.45
1,2024-01-25 04:51:00,2024-01-25 05:16:00,1,2.261,248,13,N,CRD,9.42,1.32,0.0,10.74
2,2024-01-18 05:24:00,2024-01-18 05:45:00,1,2.541,231,44,N,CRD,8.09,0.69,0.0,8.78
2,2024-01-15 05:26:00,2024-01-15 05:36:00,1,1.153,1,11,N,CSH,6.66,0.17,0.0,6.83
1,2024-01-16 16:10:00,2024-01-16 16:17:00,1,0.471,89,10,N,CRD,4.24,0.07,0.5,4.81
1,2024-01-18 15:08:00,2024-01-18 15:13:00,1,0.27,262,47,N,CSH,4.54,0.0,0.0,4.54
1,2024-01-02 03:43:00,2024-01-02 03:46:00,1,0.35,135,245,N,CRD,4.14,1.06,0.0,5.2
2,2024-01-05 08:00:00,2024-01-05 08:02:00,2,1.443,28,231,N,CSH,6.46,0.0,0.0,6.46
2,2024-01-08 14:38:00,2024-01-08 14:44:00,1,0.958,163,142,N,CRD,5.59,0.09,0.0,5.68
2,2024-01-04 13:12:00,2024-01-04 13:15:00,5,0.493,258,5,N,CRD,3.83,0.0,0.0,3.83
2,2024-01-14 15:04:00,2024-01-14 15:21:00,1,1.884,73,59,N,CRD,6.5,0.0,0.5,7.0
1,2024-01-21 17:17:00,2024-01-21 17:19:00,2,1.533,131,72,N,CRD,6.99,0.07,0.5,7.56
1,2024-01-21 06:53:00,2024-01-21 07:14:00,6,0.371,3,252,N,CRD,3.36,0.36,0.5,4.22
1,2024-01-15 14:29:00,2024-01-15 14:33:00,1,5.912,258,136,N,CRD,18.54,2.25,0.0,20.79
2,2024-01-27 12:10:00,2024-01-27 12:35:00,1,3.538,237,205,N,CSH,12.57,0.0,0.0,12.57
1,2024-01-18 12:32:00,2024-01-18 12:48:00,1,2.289,9,52,N,CRD,8.81,2.06,0.0,10.87
1,2024-01-03 10:55:00,2024-01-03 10:59:00,1,1.544,95,156,N,CRD,7.35,0.56,0.0,7.91
2,2024-01-24 17:09:00,2024-01-24 17:23:00,2,2.485,158,161,N,CRD,9.21,0.19,0.0,9.4
1,2024-01-18 19:30:00,2024-01-18 20:20:00,1,0.659,24,165,N,CSH,4.65,0.9,0.5,6.05
1,2024-01-20 16:13:00,2024-01-20 16:21:00,3,1.016,23,6,N,CRD,4.41,0.0,0.0,4.41
1,2024-01-18 12:38:00,2024-01-18 12:44:00,2,7.204,194,151,N,CRD,20.76,4.45,0.0,25.21
2,2024-01-18 03:51:00,2024-01-18 04:07:00,2,0.272,237,120,N,CSH,3.63,0.77,0.0,4.4
2,2024-01-03 19:22:00,2024-01-03 19:41:00,1,5.35,262,64,N,CRD,16.24,0.66,0.0,16.9
1,2024-01-18 08:03:00,2024-01-18 08:14:00,3,3.362,20,60,N,CRD,11.18,0.0,0.0,11.18
1,2024-01-25 15:24:00,2024-01-25 15:26:00,1,1.113,171,261,N,CSH,5.49,0.82,0.5,6.81
2,2024-01-10 10:08:00,2024-01-10 10:10:00,2,5.24,68,251,N,CSH,17.68,2.41,0.0,20.09
2,2024-01-19 16:30:00,2024-01-19 17:04:00,1,3.815,148,112,N,CRD,12.17,1.81,0.0,13.98
1,2024-01-01 22:55:00,2024-01-01 23:06:00,1,4.462,74,183,N,CRD,14.4,1.38,0.0,15.78
2,2024-01-11 18:32:00,2024-01-11 18:38:00,1,2.595,117,78,N,CRD,9.02,0.04,1.0,10.06
2,2024-01-14 12:55:00,2024-01-14 13:07:00,1,1.444,44,163,N,CSH,6.45,1.59,0.0,8.04
1,2024-01-31 11:09:00,2024-01-31 11:20:00,1,2.872,68,99,N,CRD,8.84,0.22,0.0,9.06
2,2024-01-07 15:39:00,2024-01-07 15:41:00,2,5.506,28,80,N,CSH,15.7,4.71,0.0,20.41
2,2024-01-09 13:45:00,2024-01-09 13:48:00,1,0.744,226,60,N,CRD,3.89,0.24,0.0,4.13
1,2024-01-13 15:56:00,2024-01-13 16:03:00,4,3.66,106,94,N,CRD,10.65,0.94,0.0,11.59
1,2024-01-31 18:32:00,2024-01-31 19:23:00,2,1.955,155,113,N,CRD,7.53,1.16,0.0,8.69
1,2024-01-27 10:55:00,2024-01-27 11:01:00,3,1.218,242,215,N,CRD,4.67,0.14,0.0,4.81
1,2024-01-02 01:48:00,2024-01-02 02:01:00,4,0.351,20,140,N,CSH,2.5,0.37,0.0,2.87
1,2024-01-08 06:03:00,2024-01-08 06:05:00,3,0.488,113,8,N,CRD,5.89,0.0,0.0,5.89
2,2024-01-26 11:19:00,2024-01-26 11:26:00,1,11.082,101,36,N,CRD,31.38,2.86,0.5,34.74
2,2024-01-02 19:22:00,2024-01-02 19:29:00,1,3.747,195,123,N,CRD,13.95,0.83,0.0,14.78
1,2024-01-27 12:37:00,2024-01-27 12:53:00,1,1.986,127,234,N,CSH,7.43,0.0,0.0,7.43
2,2024-01-09 17:20:00,2024-01-09 17:25:00,1,1.175,73,159,N,CRD,5.18,0.57,0.0,5.75
1,2024-01-29 10:43:00,2024-01-29 11:15:00,4,2.843,258,257,N,CRD,10.05,4.62,0.0,14.67
1,2024-01-10 02:26:00,2024-01-10 02:29:00,1,9.263,96,242,N,DIS,26.09,7.93,0.0,34.02
2,2024-01-14 11:07:00,2024-01-14 11:33:00,3,4.192,145,108,N,CRD,12.69,0.0,0.0,12.69
2,2024-01-21 12:27:00,2024-01-21 12:30:00,1,0.286,21,28,N,CRD,2.51,0.15,1.0,3.66
2,2024-01-04 21:57:00,2024-01-04 22:22:00,4,0.252,220,76,N,CRD,3.78,0.0,0.0,3.78
1,2024-01-18 06:25:00,2024-01-18 06:34:00,1,3.779,221,110,N,CRD,10.95,0.0,0.0,10.95
1,2024-01-16 15:43:00,2024-01-16 16:41:00,1,0.435,119,94,N,CRD,4.23,1.22,0.0,5.45
2,2024-01-25 07:13:00,2024-01-25 07:16:00,4,1.078,104,246,N,CRD,4.96,0.53,0.5,5.99
1,2024-01-31 21:06:00,2024-01-31 21:19:00,1,2.962,161,38,N,CRD,10.74,1.91,0.0,12.65
2,2024-01-21 14:14:00,2024-01-21 14:58:00,2,0.421,137,35,N,CRD,4.69,0.07,0.0,4.76
2,2024-01-13 16:26:00,2024-01-13 16:37:00,1,2.221,87,181,N,CRD,8.69,0.0,0.0,8.69
2,2024-01-13 14:21:00,2024-01-13 14:56:00,3,0.948,41,122,N,DIS,3.87,0.22,0.0,4.09
2,2024-01-13 22:57:00,2024-01-13 23:00:00,2,0.661,144,17,N,CSH,3.15,0.0,0.5,3.65
2,2024-01-26 05:37:00,2024-01-26 05:43:00,3,7.616,155,157,N,CSH,20.54,1.19,0.0,21.73
2,2024-01-10 22:59:00,2024-01-10 23:05:00,1,1.248,70,245,N,CRD,5.17,0.6,0.0,5.77
1,2024-01-06 04:13:00,2024-01-06 04:24:00,2,5.211,26,47,N,CRD,14.53,0.0,0.0,14.53
2,2024-01-11 08:42:00,2024-01-11 08:50:00,1,0.215,238,112,N,CRD,3.02,0.91,0.0,3.93
2,2024-01-01 16:53:00,2024-01-01 16:55:00,1,2.176,129,191,N,CRD,7.07,1.87,0.5,9.44
2,2024-01-04 06:58:00,2024-01-04 07:12:00,2,7.108,101,232,N,CSH,19.72,0.0,0.0,19.72
1,2024-01-03 18:59:00,2024-01-03 19:06:00,1,6.211,236,32,N,CRD,18.04,4.8,0.0,22.84
2,2024-01-24 22:02:00,2024-01-24 22:39:00,2,2.18,89,37,N,CSH,8.36,0.58,0.5,9.44
1,2024-01-23 09:26:00,2024-01-23 09:31:00,1,6.022,249,150,N,CRD,16.77,0.0,0.0,16.77
2,2024-01-22 14:23:00,2024-01-22 14:41:00,1,0.877,125,179,N,CSH,4.28,1.33,0.0,5.61
2,2024-01-15 07:38:00,2024-01-15 07:49:00,2,5.42,245,134,N,CRD,16.41,3.43,0.0,19.84
1,2024-01-23 05:29:00,2024-01-23 05:57:00,2,3.327,65,136,N,CRD,10.7,0.8,0.5,12.0
2,2024-01-05 23:59:00,2024-01-06 00:03:00,2,0.714,242,176,N,DIS,4.14,0.05,0.0,4.19
1,2024-01-28 22:03:00,2024-01-28 22:06:00,6,4.165,29,165,N,CSH,13.6,0.57,0.0,14.17
2,2024-01-16 12:46:00,2024-01-16 12:49:00,1,0.666,155,225,N,CRD,3.28,0.03,0.5,3.81
2,2024-01-30 01:54:00,2024-01-30 01:57:00,6,0.763,59,238,N,CSH,5.24,0.42,0.0,5.66
2,2024-01-05 17:19:00,2024-01-05 17:33:00,1,4.695,66,20,N,CRD,16.53,0.0,0.5,17.03
2,2024-01-16 10:00:00,2024-01-16 10:06:00,1,1.383,55,34,N,CRD,6.24,0.0,0.0,6.24
2,2024-01-22 14:03:00,2024-01-22 14:25:00,2,2.724,210,193,N,CRD,8.87,0.1,0.0,8.97
2,2024-01-16 08:44:00,2024-01-16 08:55:00,1,0.234,167,220,N,CRD,2.5,0.63,0.0,3.13
2,2024-01-14 19:56:00,2024-01-14 20:30:00,5,2.877,18,103,N,CSH,9.2,0.9,0.0,10.1
2,2024-01-06 03:39:00,2024-01-06 03:45:00,1,2.234,247,228,N,UNK,8.45,0.43,0.0,8.88
2,2024-01-12 19:28:00,2024-01-12 19:33:00,1,4.141,257,114,N,CRD,12.74,0.84,0.0,13.58
2,2024-01-08 09:38:00,2024-01-08 09:54:00,2,0.988,11,167,N,CRD,4.92,0.26,0.5,5.68
1,2024-01-10 08:19:00,2024-01-10 08:21:00,1,4.084,204,8,N,CRD,12.6,1.25,0.0,13.85
1,2024-01-22 04:40:00,2024-01-22 05:23:00,1,3.971,196,239,N,CRD,11.93,0.0,0.0,11.93
1,2024-01-20 12:55:00,2024-01-20 12:57:00,1,1.678,135,115,N,CSH,6.64,0.0,0.0,6.64
2,2024-01-19 19:45:00,2024-01-19 19:57:00,4,2.054,38,103,N,CRD,6.83,0.61,0.0,7.44
1,2024-01-12 05:11:00,2024-01-12 05:25:00,1,3.116,256,94,N,CRD,10.39,0.0,0.0,10.39
1,2024-01-30 18:00:00,2024-01-30 18:22:00,1,1.792,151,221,N,CRD,7.14,1.33,0.0,8.47
2,2024-01-03 17:12:00,2024-01-03 17:18:00,1,1.164,160,123,N,CSH,6.81,0.33,0.0,7.14
2,2024-01-11 14:53:00,2024-01-11 15:02:00,4,0.908,257,143,N,CRD,4.0,0.0,0.0,4.0
2,2024-01-04 15:47:00,2024-01-04 15:52:00,4,2.999,9,155,N,CSH,10.73,2.19,0.0,12.92
2,2024-01-11 12:10:00,2024-01-11 12:13:00,4,4.651,17,2,N,CSH,14.97,1.76,0.0,16.73
2,2024-01-30 19:39:00,2024-01-30 19:57:00,1,2.031,171,115,N,CSH,7.33,0.63,0.0,7.96
2,2024-01-12 08:30:00,2024-01-12 08:45:00,1,2.217,245,169,N,CRD,7.38,1.25,0.0,8.63
2,2024-01-29 03:59:00,2024-01-29 04:31:00,3,4.94,176,167,N,CSH,16.19,2.56,0.0,18.75
1,2024-01-16 08:19:00,2024-01-16 08:25:00,1,5.366,57,75,Y,CRD,14.92,1.34,0.0,16.26
2,2024-01-22 16:34:00,2024-01-22 16:38:00,1,0.263,14,24,Y,CRD,2.5,0.42,0.0,2.92
1,2024-01-15 04:19:00,2024-01-15 04:23:00,4,1.523,76,41,N,CSH,5.31,0.0,0.0,5.31
2,2024-01-09 05:48:00,2024-01-09 05:50:00,1,6.686,120,16,N,CRD,18.54,7.88,0.0,26.42
1,2024-01-24 16:35:00,2024-01-24 16:49:00,1,7.538,118,15,N,CRD,21.11,8.55,0.0,29.66
2,2024-01-31 01:04:00,2024-01-31 01:06:00,1,5.41,183,67,N,CRD,17.51,5.28,0.0,22.79
2,2024-01-09 04:03:00,2024-01-09 04:10:00,1,2.069,8,212,N,CRD,7.25,0.0,1.0,8.25
2,2024-01-25 03:23:00,2024-01-25 03:32:00,6,2.168,219,162,N,CRD,10.02,0.2,0.0,10.22
1,2024-01-09 02:17:00,2024-01-09 02:27:00,1,0.721,70,168,N,CRD,5.2,0.19,0.0,5.39
1,2024-01-23 05:21:00,2024-01-23 06:03:00,1,1.642,41,68,N,CRD,6.1,0.17,1.0,7.27
2,2024-01-25 11:01:00,2024-01-25 11:03:00,1,1.049,208,234,N,CRD,4.63,0.9,0.5,6.03
2,2024-01-14 22:19:00,2024-01-14 22:23:00,1,3.384,20,150,N,CRD,11.16,3.66,0.5,15.32
2,2024-01-23 20:16:00,2024-01-23 20:33:00,2,0.903,29,28,N,CSH,4.83,0.43,0.0,5.26
2,2024-01-09 10:32:00,2024-01-09 10:52:00,2,0.744,55,260,N,DIS,3.36,0.18,0.0,3.54
1,2024-01-03 10:57:00,2024-01-03 11:22:00,1,1.232,120,212,N,NoCharge,4.85,0.04,0.0,4.89
2,2024-01-03 23:42:00,2024-01-04 00:00:00,1,8.074,118,23,N,NoCharge,21.68,2.04,0.0,23.72
1,2024-01-14 20:35:00,2024-01-14 20:41:00,1,2.533,182,112,N,CSH,10.59,0.18,0.5,11.27
1,2024-01-28 23:32:00,2024-01-28 23:48:00,1,4.172,72,158,N,CRD,13.07,0.64,0.0,13.71
1,2024-01-04 22:55:00,2024-01-04 23:19:00,4,2.129,256,115,N,CSH,7.51,0.0,0.0,7.51
1,2024-01-15 03:05:00,2024-01-15 03:25:00,3,2.787,187,11,N,CRD,8.8,0.21,0.0,9.01
2,2024-01-22 19:47:00,2024-01-22 19:50:00,1,2.356,154,114,N,CSH,7.83,0.45,0.0,8.28
2,2024-01-07 06:33:00,2024-01-07 06:38:00,3,1.126,172,71,N,CRD,4.31,0.0,0.0,4.31
2,2024-01-23 08:52:00,2024-01-23 08:55:00,3,1.682,18,246,N,CSH,6.87,0.88,0.0,7.75
2,2024-01-10 11:37:00,2024-01-10 12:01:00,3,1.486,132,167,N,CRD,6.99,0.45,0.0,7.44
1,2024-01-26 01:38:00,2024-01-26 01:49:00,3,4.046,101,99,N,CRD,14.18,1.92,0.0,16.1
2,2024-01-18 22:56:00,2024-01-18 23:02:00,6,3.469,252,165,N,CRD,11.97,0.24,0.0,12.21
2,2024-01-17 22:53:00,2024-01-17 22:57:00,1,8.251,161,111,N,CRD,23.88,3.0,0.0,26.88
2,2024-01-06 11:31:00,2024-01-06 11:33:00,1,1.828,248,177,N,CRD,8.24,0.26,0.0,8.5
